run_id,task_id,selected_tool,tool_success,tool_a_reliability,tool_b_reliability,used_exploration,latency_sec,retry_count
1,1,tool_a,1,0.5,0.5,0,0.0,0
1,2,tool_b,1,0.5,0.5,0,0.0,0
1,3,tool_a,1,0.5,0.5,0,0.0,0
1,4,tool_a,1,0.5,0.5,0,0.0,0
1,5,tool_a,1,0.5,0.5,0,0.0,0
1,6,tool_a,1,0.5,0.5,0,0.0,0
1,7,tool_a,1,0.5,0.5,0,0.0,0
1,8,tool_b,1,0.5,0.5,0,0.0,0
1,9,tool_b,0,0.5,0.5,0,0.0,0
1,10,tool_a,1,0.5,0.5,0,0.0,0
1,11,tool_a,1,0.5,0.5,0,0.0,0
1,12,tool_b,1,0.5,0.5,0,0.0,0
1,13,tool_a,0,0.5,0.5,0,0.0,0
1,14,tool_b,1,0.5,0.5,0,0.0,0
1,15,tool_b,1,0.5,0.5,0,0.0,0
1,16,tool_b,1,0.5,0.5,0,0.0,0
1,17,tool_a,1,0.5,0.5,0,0.0,0
1,18,tool_a,0,0.5,0.5,0,0.0,0
1,19,tool_b,1,0.5,0.5,0,0.0,0
1,20,tool_b,0,0.5,0.5,0,0.0,0
1,21,tool_b,1,0.5,0.5,0,0.0,0
1,22,tool_a,1,0.5,0.5,0,0.0,0
1,23,tool_a,1,0.5,0.5,0,0.0,0
1,24,tool_a,1,0.5,0.5,0,0.0,0
1,25,tool_a,1,0.5,0.5,0,0.0,0
1,26,tool_b,1,0.5,0.5,0,0.0,0
1,27,tool_b,1,0.5,0.5,0,0.0,0
1,28,tool_b,1,0.5,0.5,0,0.0,0
1,29,tool_b,1,0.5,0.5,0,0.0,0
1,30,tool_a,0,0.5,0.5,0,0.0,0
1,31,tool_a,1,0.5,0.5,0,0.0,0
1,32,tool_a,1,0.5,0.5,0,0.0,0
1,33,tool_b,1,0.5,0.5,0,0.0,0
1,34,tool_a,0,0.5,0.5,0,0.0,0
1,35,tool_a,1,0.5,0.5,0,0.0,0
1,36,tool_a,0,0.5,0.5,0,0.0,0
1,37,tool_b,1,0.5,0.5,0,0.0,0
1,38,tool_a,0,0.5,0.5,0,0.0,0
1,39,tool_b,1,0.5,0.5,0,0.0,0
1,40,tool_b,1,0.5,0.5,0,0.0,0
1,41,tool_b,1,0.5,0.5,0,0.0,0
1,42,tool_a,1,0.5,0.5,0,0.0,0
1,43,tool_b,1,0.5,0.5,0,0.0,0
1,44,tool_b,0,0.5,0.5,0,0.0,0
1,45,tool_b,1,0.5,0.5,0,0.0,0
1,46,tool_a,1,0.5,0.5,0,0.0,0
1,47,tool_a,0,0.5,0.5,0,0.0,0
1,48,tool_a,1,0.5,0.5,0,0.0,0
1,49,tool_a,0,0.5,0.5,0,0.0,0
1,50,tool_b,1,0.5,0.5,0,0.0,0
1,51,tool_b,1,0.5,0.5,0,0.0,0
1,52,tool_b,1,0.5,0.5,0,0.0,0
1,53,tool_a,0,0.5,0.5,0,0.0,0
1,54,tool_a,0,0.5,0.5,0,0.0,0
1,55,tool_b,1,0.5,0.5,0,0.0,0
1,56,tool_b,1,0.5,0.5,0,0.0,0
1,57,tool_b,1,0.5,0.5,0,0.0,0
1,58,tool_a,0,0.5,0.5,0,0.0,0
1,59,tool_b,0,0.5,0.5,0,0.0,0
1,60,tool_a,0,0.5,0.5,0,0.0,0
1,61,tool_a,0,0.5,0.5,0,0.0,0
1,62,tool_b,0,0.5,0.5,0,0.0,0
1,63,tool_a,1,0.5,0.5,0,0.0,0
1,64,tool_a,0,0.5,0.5,0,0.0,0
1,65,tool_a,0,0.5,0.5,0,0.0,0
1,66,tool_b,1,0.5,0.5,0,0.0,0
1,67,tool_b,0,0.5,0.5,0,0.0,0
1,68,tool_b,1,0.5,0.5,0,0.0,0
1,69,tool_a,0,0.5,0.5,0,0.0,0
1,70,tool_a,1,0.5,0.5,0,0.0,0
1,71,tool_b,0,0.5,0.5,0,0.0,0
1,72,tool_a,1,0.5,0.5,0,0.0,0
1,73,tool_b,0,0.5,0.5,0,0.0,0
1,74,tool_a,0,0.5,0.5,0,0.0,0
1,75,tool_b,0,0.5,0.5,0,0.0,0
1,76,tool_a,1,0.5,0.5,0,0.0,0
1,77,tool_b,0,0.5,0.5,0,0.0,0
1,78,tool_b,1,0.5,0.5,0,0.0,0
1,79,tool_b,1,0.5,0.5,0,0.0,0
1,80,tool_a,1,0.5,0.5,0,0.0,0
1,81,tool_a,1,0.5,0.5,0,0.0,0
1,82,tool_a,1,0.5,0.5,0,0.0,0
1,83,tool_a,1,0.5,0.5,0,0.0,0
1,84,tool_a,1,0.5,0.5,0,0.0,0
1,85,tool_a,1,0.5,0.5,0,0.0,0
1,86,tool_a,1,0.5,0.5,0,0.0,0
1,87,tool_b,1,0.5,0.5,0,0.0,0
1,88,tool_a,1,0.5,0.5,0,0.0,0
1,89,tool_b,1,0.5,0.5,0,0.0,0
1,90,tool_b,0,0.5,0.5,0,0.0,0
1,91,tool_a,1,0.5,0.5,0,0.0,0
1,92,tool_b,1,0.5,0.5,0,0.0,0
1,93,tool_b,1,0.5,0.5,0,0.0,0
1,94,tool_a,1,0.5,0.5,0,0.0,0
1,95,tool_a,1,0.5,0.5,0,0.0,0
1,96,tool_b,0,0.5,0.5,0,0.0,0
1,97,tool_a,1,0.5,0.5,0,0.0,0
1,98,tool_a,1,0.5,0.5,0,0.0,0
1,99,tool_a,1,0.5,0.5,0,0.0,0
1,100,tool_b,1,0.5,0.5,0,0.0,0
2,1,tool_a,1,0.5,0.5,0,0.0,0
2,2,tool_a,1,0.5,0.5,0,0.0,0
2,3,tool_a,0,0.5,0.5,0,0.0,0
2,4,tool_a,1,0.5,0.5,0,0.0,0
2,5,tool_b,1,0.5,0.5,0,0.0,0
2,6,tool_b,0,0.5,0.5,0,0.0,0
2,7,tool_a,1,0.5,0.5,0,0.0,0
2,8,tool_b,1,0.5,0.5,0,0.0,0
2,9,tool_b,1,0.5,0.5,0,0.0,0
2,10,tool_b,1,0.5,0.5,0,0.0,0
2,11,tool_b,1,0.5,0.5,0,0.0,0
2,12,tool_a,1,0.5,0.5,0,0.0,0
2,13,tool_a,1,0.5,0.5,0,0.0,0
2,14,tool_a,1,0.5,0.5,0,0.0,0
2,15,tool_b,1,0.5,0.5,0,0.0,0
2,16,tool_a,1,0.5,0.5,0,0.0,0
2,17,tool_a,1,0.5,0.5,0,0.0,0
2,18,tool_a,1,0.5,0.5,0,0.0,0
2,19,tool_a,1,0.5,0.5,0,0.0,0
2,20,tool_a,1,0.5,0.5,0,0.0,0
2,21,tool_a,1,0.5,0.5,0,0.0,0
2,22,tool_b,1,0.5,0.5,0,0.0,0
2,23,tool_b,0,0.5,0.5,0,0.0,0
2,24,tool_a,1,0.5,0.5,0,0.0,0
2,25,tool_b,1,0.5,0.5,0,0.0,0
2,26,tool_b,1,0.5,0.5,0,0.0,0
2,27,tool_b,1,0.5,0.5,0,0.0,0
2,28,tool_a,1,0.5,0.5,0,0.0,0
2,29,tool_a,1,0.5,0.5,0,0.0,0
2,30,tool_a,1,0.5,0.5,0,0.0,0
2,31,tool_a,0,0.5,0.5,0,0.0,0
2,32,tool_a,0,0.5,0.5,0,0.0,0
2,33,tool_b,1,0.5,0.5,0,0.0,0
2,34,tool_b,0,0.5,0.5,0,0.0,0
2,35,tool_b,1,0.5,0.5,0,0.0,0
2,36,tool_a,0,0.5,0.5,0,0.0,0
2,37,tool_b,0,0.5,0.5,0,0.0,0
2,38,tool_a,0,0.5,0.5,0,0.0,0
2,39,tool_a,1,0.5,0.5,0,0.0,0
2,40,tool_a,0,0.5,0.5,0,0.0,0
2,41,tool_a,1,0.5,0.5,0,0.0,0
2,42,tool_a,0,0.5,0.5,0,0.0,0
2,43,tool_a,0,0.5,0.5,0,0.0,0
2,44,tool_b,1,0.5,0.5,0,0.0,0
2,45,tool_b,0,0.5,0.5,0,0.0,0
2,46,tool_a,1,0.5,0.5,0,0.0,0
2,47,tool_b,0,0.5,0.5,0,0.0,0
2,48,tool_a,1,0.5,0.5,0,0.0,0
2,49,tool_a,0,0.5,0.5,0,0.0,0
2,50,tool_b,1,0.5,0.5,0,0.0,0
2,51,tool_b,1,0.5,0.5,0,0.0,0
2,52,tool_b,1,0.5,0.5,0,0.0,0
2,53,tool_a,1,0.5,0.5,0,0.0,0
2,54,tool_a,0,0.5,0.5,0,0.0,0
2,55,tool_b,1,0.5,0.5,0,0.0,0
2,56,tool_a,0,0.5,0.5,0,0.0,0
2,57,tool_a,0,0.5,0.5,0,0.0,0
2,58,tool_a,0,0.5,0.5,0,0.0,0
2,59,tool_a,0,0.5,0.5,0,0.0,0
2,60,tool_a,0,0.5,0.5,0,0.0,0
2,61,tool_b,0,0.5,0.5,0,0.0,0
2,62,tool_a,0,0.5,0.5,0,0.0,0
2,63,tool_a,0,0.5,0.5,0,0.0,0
2,64,tool_a,0,0.5,0.5,0,0.0,0
2,65,tool_a,1,0.5,0.5,0,0.0,0
2,66,tool_b,1,0.5,0.5,0,0.0,0
2,67,tool_b,0,0.5,0.5,0,0.0,0
2,68,tool_a,0,0.5,0.5,0,0.0,0
2,69,tool_a,0,0.5,0.5,0,0.0,0
2,70,tool_a,0,0.5,0.5,0,0.0,0
2,71,tool_a,1,0.5,0.5,0,0.0,0
2,72,tool_b,1,0.5,0.5,0,0.0,0
2,73,tool_a,0,0.5,0.5,0,0.0,0
2,74,tool_a,0,0.5,0.5,0,0.0,0
2,75,tool_b,0,0.5,0.5,0,0.0,0
2,76,tool_b,1,0.5,0.5,0,0.0,0
2,77,tool_b,1,0.5,0.5,0,0.0,0
2,78,tool_b,0,0.5,0.5,0,0.0,0
2,79,tool_a,1,0.5,0.5,0,0.0,0
2,80,tool_b,1,0.5,0.5,0,0.0,0
2,81,tool_b,1,0.5,0.5,0,0.0,0
2,82,tool_b,1,0.5,0.5,0,0.0,0
2,83,tool_b,1,0.5,0.5,0,0.0,0
2,84,tool_a,1,0.5,0.5,0,0.0,0
2,85,tool_a,1,0.5,0.5,0,0.0,0
2,86,tool_b,1,0.5,0.5,0,0.0,0
2,87,tool_a,1,0.5,0.5,0,0.0,0
2,88,tool_a,1,0.5,0.5,0,0.0,0
2,89,tool_b,1,0.5,0.5,0,0.0,0
2,90,tool_a,1,0.5,0.5,0,0.0,0
2,91,tool_b,1,0.5,0.5,0,0.0,0
2,92,tool_b,1,0.5,0.5,0,0.0,0
2,93,tool_b,1,0.5,0.5,0,0.0,0
2,94,tool_a,1,0.5,0.5,0,0.0,0
2,95,tool_b,1,0.5,0.5,0,0.0,0
2,96,tool_a,1,0.5,0.5,0,0.0,0
2,97,tool_b,1,0.5,0.5,0,0.0,0
2,98,tool_a,1,0.5,0.5,0,0.0,0
2,99,tool_a,1,0.5,0.5,0,0.0,0
2,100,tool_b,1,0.5,0.5,0,0.0,0
3,1,tool_b,1,0.5,0.5,0,0.0,0
3,2,tool_b,1,0.5,0.5,0,0.0,0
3,3,tool_a,1,0.5,0.5,0,0.0,0
3,4,tool_b,1,0.5,0.5,0,0.0,0
3,5,tool_b,1,0.5,0.5,0,0.0,0
3,6,tool_a,1,0.5,0.5,0,0.0,0
3,7,tool_a,1,0.5,0.5,0,0.0,0
3,8,tool_a,1,0.5,0.5,0,0.0,0
3,9,tool_a,0,0.5,0.5,0,0.0,0
3,10,tool_a,1,0.5,0.5,0,0.0,0
3,11,tool_a,1,0.5,0.5,0,0.0,0
3,12,tool_b,1,0.5,0.5,0,0.0,0
3,13,tool_a,1,0.5,0.5,0,0.0,0
3,14,tool_a,1,0.5,0.5,0,0.0,0
3,15,tool_a,1,0.5,0.5,0,0.0,0
3,16,tool_a,1,0.5,0.5,0,0.0,0
3,17,tool_b,1,0.5,0.5,0,0.0,0
3,18,tool_a,1,0.5,0.5,0,0.0,0
3,19,tool_a,1,0.5,0.5,0,0.0,0
3,20,tool_b,1,0.5,0.5,0,0.0,0
3,21,tool_b,0,0.5,0.5,0,0.0,0
3,22,tool_b,1,0.5,0.5,0,0.0,0
3,23,tool_b,0,0.5,0.5,0,0.0,0
3,24,tool_b,0,0.5,0.5,0,0.0,0
3,25,tool_b,1,0.5,0.5,0,0.0,0
3,26,tool_a,0,0.5,0.5,0,0.0,0
3,27,tool_b,1,0.5,0.5,0,0.0,0
3,28,tool_b,1,0.5,0.5,0,0.0,0
3,29,tool_b,1,0.5,0.5,0,0.0,0
3,30,tool_b,1,0.5,0.5,0,0.0,0
3,31,tool_b,1,0.5,0.5,0,0.0,0
3,32,tool_a,1,0.5,0.5,0,0.0,0
3,33,tool_a,1,0.5,0.5,0,0.0,0
3,34,tool_a,0,0.5,0.5,0,0.0,0
3,35,tool_a,1,0.5,0.5,0,0.0,0
3,36,tool_b,1,0.5,0.5,0,0.0,0
3,37,tool_b,1,0.5,0.5,0,0.0,0
3,38,tool_b,1,0.5,0.5,0,0.0,0
3,39,tool_a,0,0.5,0.5,0,0.0,0
3,40,tool_b,1,0.5,0.5,0,0.0,0
3,41,tool_b,1,0.5,0.5,0,0.0,0
3,42,tool_b,0,0.5,0.5,0,0.0,0
3,43,tool_b,1,0.5,0.5,0,0.0,0
3,44,tool_a,1,0.5,0.5,0,0.0,0
3,45,tool_b,1,0.5,0.5,0,0.0,0
3,46,tool_a,1,0.5,0.5,0,0.0,0
3,47,tool_b,1,0.5,0.5,0,0.0,0
3,48,tool_b,0,0.5,0.5,0,0.0,0
3,49,tool_a,0,0.5,0.5,0,0.0,0
3,50,tool_a,1,0.5,0.5,0,0.0,0
3,51,tool_b,1,0.5,0.5,0,0.0,0
3,52,tool_b,1,0.5,0.5,0,0.0,0
3,53,tool_b,1,0.5,0.5,0,0.0,0
3,54,tool_a,0,0.5,0.5,0,0.0,0
3,55,tool_b,1,0.5,0.5,0,0.0,0
3,56,tool_b,1,0.5,0.5,0,0.0,0
3,57,tool_b,1,0.5,0.5,0,0.0,0
3,58,tool_a,0,0.5,0.5,0,0.0,0
3,59,tool_a,0,0.5,0.5,0,0.0,0
3,60,tool_b,1,0.5,0.5,0,0.0,0
3,61,tool_a,0,0.5,0.5,0,0.0,0
3,62,tool_a,0,0.5,0.5,0,0.0,0
3,63,tool_a,1,0.5,0.5,0,0.0,0
3,64,tool_a,0,0.5,0.5,0,0.0,0
3,65,tool_a,1,0.5,0.5,0,0.0,0
3,66,tool_a,0,0.5,0.5,0,0.0,0
